AvgTicketPrice,Cancelled,timestamp,OriginWeather,OriginRegion,OriginLocation,OriginCountry,OriginCityName,OriginAirportID,Origin,"hour_of_day",FlightTimeMin,FlightTimeHour,FlightNum,FlightDelayType,FlightDelayMin,FlightDelay,DistanceMiles,DistanceKilometers,DestWeather,DestRegion,DestLocation,DestCountry,DestCityName,DestAirportID,Dest,dayOfWeek,Carrier
"$271.01",true,"Jan 12, 2022 @ 23:21:22.000",Rain,"SE-BD","{
  ""coordinates"": [
    18.60169983,
    -33.96480179
  ],
  ""type"": ""Point""
}",ZA,"Cape Town",CPT,"Cape Town International Airport",21,"811.468","13.524470071170063",3MXWA2E,"No Delay",0,false,"8,067.567","12,983.491",Hail,"SE-BD","{
  ""coordinates"": [
    121.8050003,
    31.14340019
  ],
  ""type"": ""Point""
}",CN,Shanghai,PVG,"Shanghai Pudong International Airport",2,"Logstash Airways"
"$135.91",false,"Jan 12, 2022 @ 23:15:00.000",Clear,"IT-62","{
  ""coordinates"": [
    12.2388889,
    41.8002778
  ],
  ""type"": ""Point""
}",IT,Rome,RM11,"Leonardo da Vinci___Fiumicino Airport",21,"219.975","3.666252314182069",JBCGHUE,"Weather Delay",210,true,"123.965","199.503",Rain,"IT-72","{
  ""coordinates"": [
    14.2908,
    40.886002
  ],
  ""type"": ""Point""
}",IT,Naples,NA01,"Naples International Airport",2,JetBeats
"$490.65",false,"Jan 12, 2022 @ 23:14:18.000",Rain,"IT-45","{
  ""coordinates"": [
    11.2887,
    44.5354
  ],
  ""type"": ""Point""
}",IT,Bologna,BO08,"Bologna Guglielmo Marconi Airport",21,"464.208","7.736801016370527",G3Q2CWX,"No Delay",0,false,"5,768.91","9,284.161",Sunny,"SE-BD","{
  ""coordinates"": [
    -74.1469,
    4.70159
  ],
  ""type"": ""Point""
}",CO,Bogota,BOG,"El Dorado International Airport",2,"ES-Air"
"$417.8",false,"Jan 12, 2022 @ 23:12:26.000",Rain,"SE-BD","{
  ""coordinates"": [
    31.11972222,
    -29.61444444
  ],
  ""type"": ""Point""
}",ZA,Durban,DUR,"King Shaka International Airport",21,"678.697","11.311616372773909",VLVPYTY,"No Delay",0,false,"5,904.119","9,501.758",Rain,"RU-MOS","{
  ""coordinates"": [
    37.4146,
    55.972599
  ],
  ""type"": ""Point""
}",RU,Moscow,SVO,"Sheremetyevo International Airport",2,"Logstash Airways"
"$808.09",true,"Jan 12, 2022 @ 23:06:46.000",Sunny,"IT-82","{
  ""coordinates"": [
    15.0664,
    37.466801
  ],
  ""type"": ""Point""
}",IT,Catania,CT03,"Catania-Fontanarossa Airport",21,"95.265","1.5877449753218251",TLKV1A6,"No Delay",0,false,"769.532","1,238.441","Heavy Fog","DE-BY","{
  ""coordinates"": [
    11.7861,
    48.353802
  ],
  ""type"": ""Point""
}",DE,Munich,MUC,"Munich Airport",2,JetBeats
"$990.05",false,"Jan 12, 2022 @ 23:05:37.000","Thunder & Lightning","IT-34","{
  ""coordinates"": [
    12.3519,
    45.505299
  ],
  ""type"": ""Point""
}",IT,Venice,VE05,"Venice Marco Polo Airport",21,"354.592","5.9098639141332985",RJ3TDO9,"No Delay",0,false,"4,626.996","7,446.429",Sunny,"CA-MB","{
  ""coordinates"": [
    -97.23989868,
    49.90999985
  ],
  ""type"": ""Point""
}",CA,Winnipeg,YWG,"Winnipeg / James Armstrong Richardson International Airport",2,"Logstash Airways"
"$273.73",false,"Jan 12, 2022 @ 23:05:37.000",Sunny,"SE-AB","{
  ""coordinates"": [
    17.91860008,
    59.65190125
  ],
  ""type"": ""Point""
}",SE,Stockholm,ARN,"Stockholm-Arlanda Airport",21,"77.71","1.2951585209710403",JMH7MAJ,"No Delay",0,false,"531.151","854.805",Clear,"PL-MZ","{
  ""coordinates"": [
    20.96710014,
    52.16569901
  ],
  ""type"": ""Point""
}",PL,Warsaw,WAW,"Warsaw Chopin Airport",2,JetBeats
"$280.26",false,"Jan 12, 2022 @ 23:05:37.000",Cloudy,"SE-BD","{
  ""coordinates"": [
    -58.5358,
    -34.8222
  ],
  ""type"": ""Point""
}",AR,"Buenos Aires",EZE,"Ministro Pistarini International Airport",21,"549.317","9.155290925297226",WYZ2OB2,"No Delay",0,false,"5,119.951","8,239.762","Damaging Wind","US-VA","{
  ""coordinates"": [
    -77.31970215,
    37.50519943
  ],
  ""type"": ""Point""
}",US,Richmond,RIC,"Richmond International Airport",2,"Kibana Airlines"
"$321.59",false,"Jan 12, 2022 @ 23:02:30.000",Rain,"SE-BD","{
  ""coordinates"": [
    54.65110016,
    24.43300056
  ],
  ""type"": ""Point""
}",AE,"Abu Dhabi",AUH,"Abu Dhabi International Airport",21,"1,068.206","17.803432967581465",W8W4O9Z,"Late Aircraft Delay",270,true,"8,431.697","13,569.502",Sunny,"SE-BD","{
  ""coordinates"": [
    -58.5358,
    -34.8222
  ],
  ""type"": ""Point""
}",AR,"Buenos Aires",EZE,"Ministro Pistarini International Airport",2,JetBeats
"$601.85",false,"Jan 12, 2022 @ 22:59:24.000",Sunny,"IT-88","{
  ""coordinates"": [
    9.05428,
    39.251499
  ],
  ""type"": ""Point""
}",IT,Cagliari,CA07,"Cagliari Elmas Airport",20,"466.622","7.777025020557966",P8WEX26,"Security Delay",345,true,"982.437","1,581.08","Damaging Wind","GB-ENG","{
  ""coordinates"": [
    -0.368333012,
    51.87469864
  ],
  ""type"": ""Point""
}",GB,London,LTN,"London Luton Airport",2,"ES-Air"
